"place","temp","pressure","humidity","visibility","wind_speed","clouds","ts","dtp_uuid","ts-2","dtp_place"
"Ярославское шоссе","12.66","1028","71","10000","2","0","2019-08-28 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.38","1028","58","10000","2","0","2019-08-28 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.14","1027","44","10000","3","0","2019-08-28 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.6","1027","42","10000","3","0","2019-08-28 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.6","1027","39","10000","4","0","2019-08-28 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.8","1027","36","10000","4","0","2019-08-28 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.08","1027","39","10000","3","0","2019-08-28 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17","1027","39","10000","5","0","2019-08-28 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.04","1027","42","10000","5","0","2019-08-28 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.32","1027","39","10000","5","0","2019-08-28 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.57","1026","44","10000","6","0","2019-08-28 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.7","1026","51","10000","6","20","2019-08-28 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.98","1026","62","10000","7","20","2019-08-28 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.02","1026","66","10000","5","0","2019-08-28 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","11.86","1026","71","10000","5","0","2019-08-28 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","10.73","1026","93","10000","3","0","2019-08-28 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","10.73","1025","93","10000","3","0","2019-08-28 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","11.53","1025","87","10000","4","0","2019-08-28 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","11.97","1024","87","10000","3","0","2019-08-28 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","12.72","1024","87","10000","3","0","2019-08-28 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.69","1023","76","10000","3","0","2019-08-28 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","13.64","1022","76","10000","3","0","2019-08-28 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","14.39","1022","72","10000","4","0","2019-08-28 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.19","1022","77","10000","4","0","2019-08-27 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.02","1021","67","10000","3","0","2019-08-27 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.3","1021","67","10000","4","0","2019-08-27 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.2","1020","55","10000","5","0","2019-08-27 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.19","1020","52","10000","8","0","2019-08-27 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.62","1020","52","10000","7","0","2019-08-27 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.21","1020","52","10000","6","0","2019-08-27 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21","1020","52","10000","6","0","2019-08-27 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.61","1020","46","10000","6","75","2019-08-27 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.7","1019","53","10000","6","75","2019-08-27 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.03","1019","56","10000","7","75","2019-08-27 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.47","1019","60","10000","6","75","2019-08-27 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.93","1019","64","10000","6","75","2019-08-27 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.48","1019","88","10000","4","75","2019-08-27 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.02","1019","100","10000","3","75","2019-08-27 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.52","1019","100","10000","3","0","2019-08-27 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.85","1019","100","10000","3","75","2019-08-27 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.85","1019","100","10000","3","75","2019-08-27 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.69","1019","93","10000","3","0","2019-08-27 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.46","1019","87","10000","3","0","2019-08-27 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.44","1020","82","10000","2","0","2019-08-27 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.38","1020","82","10000","3","0","2019-08-27 02:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.38","1021","77","10000","2","0","2019-08-27 01:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.19","1021","72","10000","3","0","2019-08-27 00:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.31","1022","72","10000","5","0","2019-08-26 23:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.95","1022","72","10000","5","0","2019-08-26 22:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.14","1024","77","10000","2","0","2019-08-26 21:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","18.82","1024","63","10000","2","0","2019-08-26 20:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20","1024","59","10000","3","0","2019-08-26 19:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.31","1025","49","10000","5","0","2019-08-26 18:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.8","1025","46","10000","5","0","2019-08-26 17:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.9","1026","46","10000","5","0","2019-08-26 16:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.82","1027","49","10000","4","0","2019-08-26 15:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","21.03","1028","49","10000","3","75","2019-08-26 14:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","20.1","1028","52","10000","3","75","2019-08-26 13:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","19.33","1029","63","10000","2","40","2019-08-26 12:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","17.96","1029","68","10000","2","40","2019-08-26 11:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","16.7","1030","77","10000","2","40","2019-08-26 10:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","15.02","1030","87","10000","1","40","2019-08-26 09:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","12.86","1030","100","10000","2.46","75","2019-08-26 08:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","10.77","1030","100","10000","1.73","40","2019-08-26 07:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","9.31","1030","100","8000","1","40","2019-08-26 06:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","9.43","1030","100","2000","1.73","0","2019-08-26 05:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","10.11","1029","100","2000","0.72","18","2019-08-26 04:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","10.75","1029","100","300","0.72","18","2019-08-26 03:00:00+03",NULL,NULL,NULL
"Ярославское шоссе","10.89","1030","100","10000","0.63","0","2019-08-26 02:00:00+03",NULL,NULL,NULL
